Artist,ID Artist,total,sales,streaming,publishing,touring,year
Olivia Rodrigo,688,20.9,4.5,13.3,3.1,0,2021
Trans Siberian Orchestra,956,19.2,0.2,0.25,0.14,18.6,2021
Guns N Roses,376,19.2,0.75,1.3,1,16.1,2021
BTS,151,19,3.2,3.6,0.9,11.3,2021
Los Bukis,559,18.1,0.001,0.8,0.38,16.9,2021
Luke Combs,566,17.1,0.6,5.3,1.6,9.6,2021
Genesis,353,16.7,0.34,0.51,0.29,15.5,2021
Jonas Brothers,458,16.4,0.05,1.1,0.79,14.4,2021
Bruno Mars,149,16.2,0.46,3.8,0.8,11.2,2021
Kanye West,475,15.8,2.2,12.6,1,0,2021
Maroon 5,597,15.8,0.26,3.5,1.3,10.8,2021
Luke Bryan,565,15.2,0.43,2.7,0.67,11.4,2021
Beatles,98,15,6.4,6.2,2.5,0,2021
Billie Eilish,109,13.9,3.2,5.4,5.3,0,2021
James Taylor,424,13.6,0.13,0.94,0.34,12.2,2021
Jason Aldean,429,13.5,0.23,2.8,0.003,10.4,2021
Metallica,613,13,5.5,5.2,1.8,0.54,2021
Queen,740,12.9,5.2,5.6,2.1,0,2021
J. Cole,411,12.9,1,5.6,1.4,4.9,2021
Lil Baby,533,11.9,0.16,7.6,1.7,2.4,2021
Green Day,372,11.8,0.82,1.4,1.2,8.3,2021
Morgan Wallen,637,11.3,0.94,8,0.76,1.6,2021
Juice WRLD,464,11.2,0.6,8.8,1.8,0,2021
Weezer,987,11.1,0.95,1.1,0.78,8.3,2021
Eric Church,295,10.8,0.67,2.1,0.94,7.1,2021
Alanis Morissette,27,10.7,0.21,0.33,0.19,10,2021
Billy Joel,110,10.5,0.68,2.1,0.79,7,2021
Grupo Firme,375,10.5,0.001,1,0.15,9.3,2021
YoungBoy Never Broke Again,1011,10.4,0.12,8.9,1.4,0,2021
Thomas Rhett,934,10.3,0.17,2.4,0.41,7.4,2021
Zac Brown Band,1013,10.3,0.23,1.6,1,7.4,2021
Maluma,587,10.2,0.002,1.3,0.81,8.1,2021
The Weeknd,928,10.1,1.3,7.3,1.6,0,2021
