,year,genre
339,2008,rock
339,2008,r&b
339,2008,folk/acoustic
339,2008,pop
340,2003,pop
340,2003,r&b
341,2003,pop
341,2003,dance/electronic
342,2016,hiphop
342,2016,pop
342,2016,r&b
343,2003,dance/electronic
344,2009,hiphop
345,2003,metal
346,2003,pop
346,2003,r&b
347,2003,hiphop
347,2003,pop
348,2003,hiphop
348,2003,pop
349,2003,hiphop
349,2003,pop
349,2003,r&b
350,2002,hiphop
351,2003,hiphop
351,2003,pop
351,2003,r&b
352,2003,pop
352,2003,r&b
353,2003,hiphop
353,2003,pop
354,2002,hiphop
354,2002,pop
354,2002,r&b
355,2002,hiphop
355,2002,pop
355,2002,r&b
356,2003,pop
356,2003,dance/electronic
357,2003,pop
357,2003,dance/electronic
358,2002,pop
359,2003,hiphop
359,2003,pop
359,2003,r&b
360,2005,hiphop
360,2005,pop
361,2002,hiphop
361,2002,pop
361,2002,r&b
362,2003,hiphop
362,2003,pop
362,2003,r&b
363,2003,rock
364,2003,pop
364,2003,dance/electronic
365,2003,hiphop
365,2003,pop
366,2002,hiphop
367,2002,pop
367,2002,rock
367,2002,metal
368,2002,hiphop
368,2002,pop
368,2002,r&b
369,2002,pop
370,2003,pop
371,2003,rock
371,2003,pop
372,2003,pop
372,2003,r&b
373,2002,hiphop
374,2002,rock
374,2002,pop
375,2002,hiphop
375,2002,pop
375,2002,r&b
376,2002,hiphop
376,2002,pop
376,2002,r&b
377,2003,hiphop
377,2003,pop
377,2003,r&b
378,2002,pop
379,2002,rock
379,2002,metal
380,2002,hiphop
380,2002,pop
381,2002,pop
381,2002,r&b
382,2002,hiphop
382,2002,pop
382,2002,r&b
383,2003,pop
383,2003,r&b
384,2003,pop
385,2002,hiphop
386,2003,hiphop
386,2003,pop
386,2003,r&b
387,2003,hiphop
387,2003,pop
387,2003,r&b
388,2003,pop
388,2003,r&b
389,2002,hiphop
389,2002,pop
389,2002,r&b
390,2002,pop
390,2002,rock
391,2003,hiphop
391,2003,pop
392,2003,hiphop
392,2003,pop
392,2003,r&b
393,2003,rock
393,2003,pop
394,2002,pop
395,2002,rock
395,2002,metal
396,2003,hiphop
396,2003,r&b
397,2003,rock
398,2002,pop
399,2003,pop
400,2004,hiphop
400,2004,pop
400,2004,r&b
401,2002,pop
402,2003,pop
403,2003,hiphop
403,2003,pop
404,2003,pop
