,ID Artist,year,genre,duration,popularity
230,174,2001,pop,259.773,59
231,803,2013,pop,208.449,47
231,803,2013,dance/electronic,208.449,47
232,302,2002,hiphop,239.266,58
232,302,2002,pop,239.266,58
232,302,2002,r&b,239.266,58
233,250,2002,hiphop,272.293,59
233,250,2002,pop,272.293,59
234,496,2015,pop,222.56,59
234,496,2015,r&b,222.56,59
235,965,2002,hiphop,237.8,64
235,965,2002,pop,237.8,64
235,965,2002,r&b,237.8,64
236,512,2000,pop,207.866,55
236,512,2000,dance/electronic,207.866,55
237,658,2002,hiphop,228.24,75
237,658,2002,pop,228.24,75
237,658,2002,r&b,228.24,75
238,349,2003,pop,227.866,53
239,193,2002,pop,298.853,68
240,81,2002,hiphop,223.293,49
240,81,2002,pop,223.293,49
240,81,2002,r&b,223.293,49
241,862,2002,pop,195.866,45
241,862,2002,r&b,195.866,45
242,248,2002,dance/electronic,432.146,48
243,311,2001,hiphop,267.093,73
243,311,2001,pop,267.093,73
244,531,2019,pop,237.359,43
245,676,2001,rock,242.586,26
245,676,2001,pop,242.586,26
246,552,2002,hiphop,287.0,2
246,552,2002,pop,287.0,2
246,552,2002,r&b,287.0,2
247,753,2002,rock,269.0,80
248,642,2002,pop,254.493,58
248,642,2002,r&b,254.493,58
249,807,2002,hiphop,228.0,59
249,807,2002,pop,228.0,59
250,306,2001,hiphop,267.16,53
250,306,2001,pop,267.16,53
250,306,2001,r&b,267.16,53
251,178,2002,pop,318.213,47
252,512,2001,pop,238.266,55
252,512,2001,dance/electronic,238.266,55
253,648,2002,hiphop,264.653,58
253,648,2002,pop,264.653,58
254,349,2003,pop,233.666,35
255,245,2005,hiphop,268.8,63
255,245,2005,pop,268.8,63
256,105,2001,pop,201.48,45
257,676,2001,rock,207.04,24
257,676,2001,pop,207.04,24
258,63,2002,hiphop,265.706,55
258,63,2002,pop,265.706,55
258,63,2002,r&b,265.706,55
259,845,2002,pop,230.013,62
259,845,2002,dance/electronic,230.013,62
260,468,2002,pop,283.626,62
261,603,2001,pop,276.373,32
261,603,2001,r&b,276.373,32
262,14,2001,pop,206.466,53
