,artist,duration_ms,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,year_min,year_max,name
57,Asher Roth,241933.0,1.0,62.0,0.713,0.826,-4.075,0.243,0.0897,0.0,0.421,86.444,0.664,2009,2009,1
58,Ashlee Simpson,217440.0,0.0,56.0,0.505,0.799,-4.286,0.0773,0.0572,0.0,0.11,174.001,0.772,2004,2004,1
59,Ashley O,154447.0,0.0,57.0,0.736,0.81,-6.354,0.0906,0.077,0.0,0.0523,125.011,0.387,2019,2019,1
60,Astrid S,208728.0,0.0,0.0,0.672,0.589,-5.008,0.049,0.082,0.0,0.0962,120.036,0.379,2016,2016,1
61,Atomic Kitten,195537.33333333334,0.0,63.0,0.7026666666666667,0.6453333333333333,-5.2156666666666665,0.0351,0.05703333333333333,0.00419,0.1028,93.76966666666668,0.5466666666666666,2001,2002,3
62,Audioslave,293960.0,0.0,75.0,0.614,0.568,-5.477,0.0276,0.00797,0.0,0.0997,107.849,0.516,2002,2002,1
63,Ava Max,185231.0,0.0,5.5,0.7005,0.6799999999999999,-4.697,0.04555,0.07139999999999999,0.0,0.2595,131.5455,0.6174999999999999,2018,2019,2
64,Avant,259553.0,0.0,55.5,0.7765,0.4305,-6.13,0.04935,0.269,2.565e-06,0.1672,90.6745,0.669,2000,2003,2
65,Avicii,205057.8,0.1,57.1,0.6,0.7782,-5.201700000000001,0.04936,0.130213,0.08855343,0.16697,122.2107,0.5248999999999999,2011,2019,10
66,Avril Lavigne,222029.0,0.3,62.7,0.48919999999999997,0.8195,-3.9890999999999996,0.05774,0.035520590000000005,0.0012928739999999998,0.26549999999999996,150.0594,0.495,2002,2013,10
67,Axwell and Ingrosso,203000.0,0.0,0.0,0.645,0.741,-4.989,0.0339,0.0323,0.0,0.29,123.07,0.534,2017,2017,1
68,Ayo and Teo,238586.0,0.0,69.0,0.804,0.886,-2.512,0.04,0.0837,0.0,0.266,144.946,0.789,2017,2017,1
69,Azealia Banks,204956.0,1.0,0.0,0.847,0.769,-5.761,0.258,0.0145,0.00012,0.0767,126.017,0.626,2014,2014,1
70,B Young,173153.0,0.0,60.0,0.791,0.473,-9.86,0.25,0.279,0.0,0.0959,95.948,0.603,2018,2018,1
71,B.o.B,214977.66666666666,0.3333333333333333,71.0,0.6323333333333333,0.884,-4.7363333333333335,0.16943333333333332,0.16956666666666667,0.0,0.15666666666666665,93.15499999999999,0.6356666666666667,2010,2010,3
72,B2K,253033.0,0.0,55.5,0.845,0.6805000000000001,-5.4875,0.1394,0.09405,1.85e-06,0.0541,97.6035,0.8985000000000001,2002,2003,2
73,BLACKPINK,189052.0,0.0,1.0,0.738,0.861,-4.141,0.237,0.318,0.00182,0.325,131.98,0.58,2019,2019,1
74,BORNS,218173.0,0.0,0.0,0.373,0.858,-6.536,0.0889,0.00407,0.0016,0.256,120.063,0.605,2015,2015,1
75,BTS,229773.0,0.0,35.0,0.645,0.862,-4.757,0.0965,0.0923,0.0,0.192,119.991,0.798,2019,2019,1
76,Baauer,196664.0,0.0,57.0,0.452,0.794,-5.151,0.0483,0.0111,0.00182,0.416,137.825,0.282,2013,2013,1
77,Baby Bash,232657.33333333334,0.3333333333333333,50.0,0.741,0.6203333333333333,-3.8476666666666666,0.21366666666666667,0.47559999999999997,5.62e-06,0.08839999999999999,88.224,0.6063333333333333,2003,2005,3
78,Baby Boy Da Prince,324906.0,1.0,59.0,0.88,0.438,-7.562,0.248,0.0147,0.0,0.0907,90.02,0.714,2006,2006,1
79,Backstreet Boys,234879.66666666666,0.0,67.0,0.5473333333333333,0.6666666666666666,-4.758333333333333,0.029300000000000003,0.238,0.0,0.10410000000000001,132.577,0.45533333333333337,1999,2005,3
80,Bad Bunny,230450.0,0.5,79.0,0.7135,0.5815,-5.561,0.18555,0.30705,0.00024906,0.17099999999999999,136.6155,0.201,2018,2019,2
81,Bad Meets Evil,303813.0,1.0,68.0,0.676,0.695,-8.327,0.245,0.352,0.0,0.119,90.268,0.144,2011,2011,1
82,Baha Men,198400.0,0.0,65.0,0.869,0.887,-4.505,0.0993,0.0605,0.0,0.148,129.221,0.784,2000,2000,1
83,Banx and Ranx,190920.0,0.0,56.0,0.671,0.834,-3.928,0.0885,0.0387,0.0,0.454,113.021,0.454,2018,2018,1
